Chinese_Lemma,English_Translation,POS
上当,taken in (by sb's deceit),NOUN
下载,to download,NOUN
不免,inevitably,NOUN
不好意思,to feel embarrassed,NOUN
不如,not equal to,NOUN
不安,unpeaceful,NOUN
不得了,desperately serious,NOUN
不必,need not,NOUN
不断,unceasing,NOUN
不然,not so,NOUN
不耐烦,impatience,NOUN
不要紧,unimportant,NOUN
不见得,not necessarily,NOUN
不足,insufficient,NOUN
与其,rather than...,NOUN
丑,shameful,NOUN
专家,expert,NOUN
专心,to concentrate,NOUN
丙,third of 10 heavenly stems 十天干,NOUN
业余,spare time,NOUN
业务,business,NOUN
丝毫,the slightest amount or degree,NOUN
丝绸,silk cloth,NOUN
严肃,solemn,NOUN
个人,individual / personal,NOUN
个别,individual / specific,NOUN
个性,individuality,NOUN
中介,to act as intermediary,NOUN
中心,center,NOUN
中旬,middle third of a month,NOUN
临时,at the instant sth happens,NOUN
主人,master,NOUN
主席,chairperson,NOUN
主张,to advocate,NOUN
主持,to take charge of,NOUN
主观,subjective,NOUN
举,to lift,NOUN
义务,duty,NOUN
乐观,optimistic,NOUN
乖,(of a child) obedient,NOUN
乘,to ride,NOUN
乙,second of 10 heavenly stems 十天干,NOUN
书架,bookshelf,NOUN
了不起,amazing,NOUN
争取,to fight for,NOUN
争论,to argue,NOUN
事先,in advance,NOUN
事实,fact,NOUN
事物,thing,NOUN
交换,to exchange,NOUN
交际,communication,NOUN
产品,goods,NOUN
产生,to arise,NOUN
享受,to enjoy,NOUN
亲切,amiable,NOUN
亲爱,dear,NOUN
亲自,personally,NOUN
人事,human affairs,NOUN
人口,population,NOUN
人员,staff,NOUN
人才,a person's talent,NOUN
人物,person,NOUN
人生,life (one's time on earth),NOUN
人类,humanity,NOUN
从事,to go for,NOUN
从前,previously,NOUN
从此,from now on,NOUN
从而,thus,NOUN
付款,to pay a sum of money,NOUN
以及,as well as,NOUN
以来,since (a previous event),NOUN
价值,value,NOUN
仿佛,to seem,NOUN
企业,company,NOUN
企图,to attempt,NOUN
休闲,leisure,NOUN
优势,superiority,NOUN
优惠,preferential,NOUN
优美,graceful,NOUN
伙伴,partner,NOUN
会计,accountant,NOUN
伟大,great,NOUN
传播,to disseminate,NOUN
传染,to infect,NOUN
传统,tradition,NOUN
传说,legend,NOUN
传递,to transmit,NOUN
伸,to stretch,NOUN
似乎,apparently,NOUN
似的,seems as if,NOUN
位置,position,NOUN
体会,to know from experience,NOUN
体现,to embody,NOUN
体积,volume,NOUN
体贴,considerate (of other people's needs),NOUN
体验,to experience for oneself,NOUN
何况,let alone,NOUN
何必,there is no need,NOUN
作为,one's conduct,NOUN
作品,work (of art),NOUN
作文,to write an essay,NOUN
佩服,to admire,NOUN
使劲儿,Rearing,NOUN
依然,still,NOUN
侵略,invasion,NOUN
便,ordinary,NOUN
促使,to induce,NOUN
促进,to promote (an idea or cause),NOUN
保存,to conserve,NOUN
保持,to keep,NOUN
保留,to retain,NOUN
保险,insurance,NOUN
信号,signal,NOUN
信封,envelope,NOUN
信息,information,NOUN
修改,to amend,NOUN
俱乐部,club (i.e. a group or organization) (loanword),NOUN
倒,to place upside down,NOUN
倒霉,to have bad luck,NOUN
借口,to use as an excuse,NOUN
假如,if,NOUN
假装,to feign,NOUN
健身房,gym,NOUN
偶然,incidentally,NOUN
傍晚,in the evening,NOUN
催,to urge,NOUN
傻,foolish,NOUN
元旦,New Year's Day,NOUN
兄弟,brothers,NOUN
充分,ample,NOUN
充满,full of,NOUN
充电器,battery charger,NOUN
光临,(honorific) Welcome!,NOUN
光明,light,NOUN
光滑,glossy,NOUN
光盘,compact disc,NOUN
光荣,honor and glory,NOUN
克,gram (unit),NOUN
克服,(try to) overcome (hardships etc),NOUN
兔子,hare,NOUN
全面,all-around,NOUN
公主,princess,NOUN
公元,CE (Common Era),NOUN
公寓,apartment building,NOUN
公布,to announce,NOUN
公平,fair,NOUN
公开,public,NOUN
关怀,care,NOUN
关闭,to close,NOUN
其余,the rest,NOUN
具体,concrete,NOUN
具备,to possess,NOUN
内科,internal medicine,NOUN
册,book,NOUN
再三,over and over again,NOUN
冒险,to take risks,NOUN
